gene,species,replicate,exprval
6,5479,R1,4
6,5483,R1,9
6,5484,R1,7
6,5485,R1,13
6,5487,R1,6
6,5490,R1,9
6,5491,R1,1
6,5495,R1,11
6,5499,R1,7
6,5510,R1,4
6,5515,R1,3
6,5517,R1,9
6,5518,R1,8
6,5522,R1,11
6,5523,R1,2
6,5525,R1,7
6,5527,R1,7
6,5528,R1,11
6,5529,R1,6
6,5531,R1,7
6,5533,R1,4
6,5538,R1,11
6,5540,R1,2
7,4895,R1,13
7,4903,R1,0
7,4905,R1,5
7,4909,R1,4
7,4910,R1,6
7,4915,R1,6
7,4916,R1,7
7,4918,R1,8
7,4919,R1,2
7,4921,R1,7
7,4929,R1,2
7,4930,R1,4
7,4934,R1,0
7,4942,R1,0
7,4945,R1,7
7,4951,R1,3
7,4956,R1,3
7,4959,R1,17
7,4966,R1,2
7,4967,R1,5
7,4972,R1,11
7,4977,R1,0
7,4979,R1,12
7,4981,R1,12
7,4983,R1,9
7,4984,R1,6
7,4990,R1,8
7,4991,R1,8
7,4995,R1,2
7,4996,R1,0
7,4997,R1,0
7,5000,R1,10
7,5002,R1,2
7,5011,R1,8
7,5014,R1,9
7,5017,R1,8
7,5019,R1,6
7,5020,R1,5
7,5022,R1,10
7,5025,R1,0
7,5026,R1,2
7,5027,R1,7
7,5033,R1,16
7,5040,R1,7
7,5043,R1,0
7,5044,R1,2
7,5047,R1,4
7,5051,R1,8
7,5052,R1,10
7,5069,R1,18
7,5070,R1,7
7,5076,R1,8
7,5080,R1,1
7,5084,R1,9
7,5087,R1,12
7,5088,R1,8
7,5089,R1,5
7,5092,R1,11
7,5095,R1,0
7,5096,R1,1
7,5097,R1,2
7,5099,R1,9
7,5100,R1,4
7,5103,R1,1
7,5106,R1,8
7,5107,R1,14
7,5108,R1,7
7,5109,R1,0
7,5111,R1,3
7,5115,R1,4
7,5120,R1,3
7,5121,R1,11
7,5125,R1,9
7,5126,R1,5
7,5127,R1,5
7,5132,R1,3
7,5147,R1,2
7,5149,R1,19
7,5150,R1,18
7,5151,R1,10
7,5153,R1,4
7,5157,R1,4
7,5161,R1,2
7,5168,R1,6
7,5170,R1,0
7,5174,R1,10
7,5175,R1,14
7,5180,R1,9
7,5181,R1,7
7,5182,R1,12
7,5189,R1,4
7,5190,R1,1
7,5193,R1,2
7,5196,R1,7
7,5197,R1,9
7,5206,R1,0
7,5209,R1,4
7,5211,R1,4
7,5215,R1,4
7,5237,R1,8
7,5238,R1,4
7,5239,R1,1
7,5240,R1,5
7,5242,R1,1
7,5244,R1,2
7,5245,R1,5
7,5249,R1,7
7,5254,R1,2
7,5255,R1,8
7,5259,R1,14
7,5261,R1,5
7,5265,R1,10
7,5268,R1,3
7,5271,R1,5
7,5275,R1,6
7,5282,R1,3
7,5288,R1,1
7,5289,R1,14
7,5295,R1,5
7,5297,R1,0
7,5298,R1,2
7,5301,R1,7
7,5303,R1,0
7,5304,R1,1
7,5312,R1,1
7,5318,R1,8
7,5322,R1,8
7,5324,R1,5
7,5325,R1,6
7,5327,R1,11
7,5333,R1,7
7,5336,R1,7
7,5339,R1,2
7,5341,R1,5
7,5345,R1,11
7,5346,R1,10
7,5348,R1,0
7,5349,R1,1
7,5351,R1,2
7,5353,R1,9
7,5356,R1,0
7,5357,R1,4
7,5364,R1,3
7,5365,R1,6
7,5366,R1,3
7,5371,R1,15
7,5375,R1,0
7,5378,R1,11
7,5383,R1,11
7,5385,R1,4
7,5391,R1,0
7,5400,R1,0
7,5401,R1,2
7,5402,R1,3
7,5404,R1,5
7,5405,R1,11
7,5407,R1,11
7,5421,R1,15
7,5426,R1,13
7,5436,R1,10
7,5438,R1,7
7,5443,R1,8
7,5447,R1,18
7,5449,R1,12
7,5450,R1,4
7,5461,R1,9
7,5462,R1,14
7,5464,R1,5
7,5465,R1,9
7,5470,R1,7
7,5475,R1,8
7,5479,R1,10
7,5483,R1,6
7,5484,R1,12
7,5485,R1,9
7,5487,R1,10
7,5490,R1,11
7,5491,R1,13
7,5495,R1,7
7,5499,R1,10
7,5510,R1,6
7,5515,R1,12
7,5517,R1,11
7,5518,R1,13
7,5522,R1,6
7,5523,R1,15
7,5525,R1,14
7,5527,R1,8
7,5528,R1,9
7,5529,R1,5
7,5531,R1,6
7,5533,R1,12
7,5538,R1,13
7,5540,R1,8
8,4895,R1,7
8,4903,R1,26
8,4905,R1,17
8,4909,R1,25
8,4910,R1,19
8,4915,R1,7
8,4916,R1,1
8,4918,R1,1
8,4919,R1,15
8,4921,R1,25
8,4929,R1,15
8,4930,R1,13
8,4934,R1,15
8,4942,R1,18
8,4945,R1,5
8,4951,R1,19
8,4956,R1,16
8,4959,R1,0
8,4966,R1,14
8,4967,R1,4
8,4972,R1,0
8,4977,R1,16
8,4979,R1,1
8,4981,R1,0
8,4983,R1,16
8,4984,R1,14
8,4990,R1,7
8,4991,R1,9
8,4995,R1,9
8,4996,R1,12
8,4997,R1,19
8,5000,R1,14
