gene_index	gene	corr_pseudotime_glu	corr_pseudotime_da	corr_da_minus_glu	lavous_p	lavous_q	lavous_signif	lavous_lrt
108	Khdc1b						False	
109	Kcnq5	-0.04391222323371611	-0.06535886228914164	-0.021446639055425536			False	
110	Rims1	0.2222973149384646	0.32500846046344123	0.10271114552497662			False	
111	Gm29506		0.00020054097213286794				False	
112	4933415F23Rik		0.00020054097213286794				False	
113	Gm27028						False	
114	Gm29107	-0.11339685058547451	-0.10326128797908037	0.010135562606394144			False	
115	Ogfrl1	0.13335226849169074	0.16310139755187125	0.029749129060180513			False	
116	Gm28822						False	
117	B3gat2	0.22916690266315415	0.2682904342137624	0.03912353155060827			False	
118	Smap1	-0.012624659602668424	-0.008439741195690619	0.004184918406977805			False	
119	Sdhaf4	-0.1388237173931235	-0.08022265494481302	0.05860106244831047			False	
120	Fam135a	-0.13546928460837426	-0.07198944905364686	0.0634798355547274			False	
121	Col9a1	-0.28853602907175185	-0.26480451648310294	0.023731512588648918			False	
122	Col19a1	-0.04163063519435245	-0.044390172318480116	-0.002759537124127666			False	
123	Lmbrd1	-0.27528410424817906	-0.13365300021001217	0.1416311040381669			False	
124	Gm28237						False	
125	Gm29414						False	
126	Adgrb3	0.17216097404163935	0.27165411328251465	0.0994931392408753			False	
127	4931408C20Rik						False	
128	Gm5524						False	
129	Gm597						False	
130	Gm9898						False	
131	Phf3	-0.1589901910467282	-0.1059923985160603	0.052997792530667914			False	
132	Ptp4a1	0.0688235521891604	0.01461273713482511	-0.054210815054335296			False	
133	Ptp4a1.1	-0.004348774833946149	-0.03584291063868073	-0.031494135804734584			False	
134	Gm5698						False	
135	4931428L18Rik						False	
136	Gm28644						False	
137	Gm29128						False	
138	Lgsn						False	
139	Pih1d3						False	
140	Khdrbs2	0.14571162620275568	0.04389385611108362	-0.10181777009167206			False	
141	Gm5415	0.0018673998932603338					False	
142	Gm37724						False	
143	Gm37591						False	
144	Prim2	0.08468272810357037	0.018337395373358857	-0.06634533273021151			False	
145	Rab23	0.05130800835987829	0.0016054559728275566	-0.049702552387050736			False	
146	Bag2	-0.2138260943813485	-0.241238482191693	-0.027412387810344496			False	
147	Zfp451	0.18262108069754923	0.17349248794400893	-0.009128592753540304			False	
148	Bend6	0.38892800579668435	0.2432253242376558	-0.14570268155902855			False	
149	Dst	-0.30114275451214384	-0.22171679599290797	0.07942595851923587			False	
150	Gm26788						False	
151	Gm37958						False	
152	Gm37233	-0.010210703937232161	-0.012837251944100559	-0.0026265480068683976			False	
153	Ccdc115	0.09488960089035638	0.12074296192340898	0.025853361033052608			False	
154	Gm28306						False	
155	Imp4	0.06540439630308384	0.0426636234411187	-0.022740772861965138			False	
156	Ptpn18	0.046375777211350055	0.0016155776672181613	-0.04476019954413189			False	
157	Gm28417						False	
158	4930568A12Rik						False	
159	Prss39						False	
160	Cfc1	0.03030387227255721	0.06651411234465635	0.03621024007209914			False	
161	Prss40						False	
162	1700101I19Rik	0.0534568599870412	0.017873720932882947	-0.035583139054158254			False	
163	Amer3	0.20370058210744607	0.1520212491036838	-0.05167933300376226			False	
164	Arhgef4	-0.11656195575643838	-0.06946430925624031	0.04709764650019807			False	
165	Arhgef4.1						False	
166	Gm38336	0.02695717357905393	0.039836731983605	0.012879558404551072			False	
167	Fam168b	0.056692661552179585	0.108623513204402	0.051930851652222415			False	
168	Plekhb2	0.00282973451307344	0.04153073748015196	0.03870100296707852			False	
169	Gm37068						False	
170	Gm28415						False	
171	1110002O04Rik						False	
172	Gm37146						False	
173	Gm33222						False	
174	4930535G08Rik						False	
175	Hs6st1	0.04003580775155087	0.08897528629362908	0.04893947854207821			False	
176	Gm37335		0.019725517208869427				False	
177	Gm33280						False	
178	Uggt1	-0.064664149420138	-0.07726104473693825	-0.01259689531680025			False	
179	Neurl3	0.02490658458163655	0.038702485639621684	0.013795901057985133			False	
180	Arid5a	-0.13466890794017536	-0.132751584774167	0.0019173231660083723			False	
181	4930403P22Rik						False	
